Vértice: 394, Pai: -1, Nível: -1
Vértice: 395, Pai: -1, Nível: -1
Vértice: 396, Pai: -1, Nível: -1
Vértice: 397, Pai: -1, Nível: -1
Vértice: 398, Pai: -1, Nível: -1
Vértice: 399, Pai: -1, Nível: -1
Vértice: 400, Pai: 22433, Nível: 3
Vértice: 401, Pai: -1, Nível: -1
Vértice: 402, Pai: -1, Nível: -1
Vértice: 403, Pai: 45771, Nível: 4
Vértice: 404, Pai: 36651, Nível: 3
Vértice: 405, Pai: -1, Nível: -1
Vértice: 406, Pai: -1, Nível: -1
Vértice: 407, Pai: -1, Nível: -1
Vértice: 408, Pai: -1, Nível: -1
Vértice: 409, Pai: -1, Nível: -1
Vértice: 410, Pai: -1, Nível: -1
Vértice: 411, Pai: -1, Nível: -1
Vértice: 412, Pai: -1, Nível: -1
Vértice: 413, Pai: -1, Nível: -1
Vértice: 414, Pai: -1, Nível: -1
Vértice: 415, Pai: -1, Nível: -1
Vértice: 416, Pai: -1, Nível: -1
Vértice: 417, Pai: -1, Nível: -1
Vértice: 418, Pai: 21027, Nível: 3
Vértice: 419, Pai: -1, Nível: -1
Vértice: 420, Pai: -1, Nível: -1
Vértice: 421, Pai: -1, Nível: -1
Vértice: 422, Pai: -1, Nível: -1
Vértice: 423, Pai: -1, Nível: -1
Vértice: 424, Pai: -1, Nível: -1
Vértice: 425, Pai: -1, Nível: -1
Vértice: 426, Pai: -1, Nível: -1
Vértice: 427, Pai: -1, Nível: -1
Vértice: 428, Pai: -1, Nível: -1
Vértice: 429, Pai: -1, Nível: -1
Vértice: 430, Pai: -1, Nível: -1
Vértice: 431, Pai: -1, Nível: -1
Vértice: 432, Pai: -1, Nível: -1
Vértice: 433, Pai: -1, Nível: -1
Vértice: 434, Pai: -1, Nível: -1
Vértice: 435, Pai: -1, Nível: -1
Vértice: 436, Pai: -1, Nível: -1
Vértice: 437, Pai: 44510, Nível: 4
Vértice: 438, Pai: -1, Nível: -1
Vértice: 439, Pai: 26485, Nível: 3
Vértice: 440, Pai: -1, Nível: -1
Vértice: 441, Pai: -1, Nível: -1
Vértice: 442, Pai: -1, Nível: -1
Vértice: 443, Pai: -1, Nível: -1
Vértice: 444, Pai: -1, Nível: -1
Vértice: 445, Pai: -1, Nível: -1
Vértice: 446, Pai: -1, Nível: -1
Vértice: 447, Pai: -1, Nível: -1
Vértice: 448, Pai: -1, Nível: -1
Vértice: 449, Pai: -1, Nível: -1
Vértice: 450, Pai: -1, Nível: -1
Vértice: 451, Pai: -1, Nível: -1
Vértice: 452, Pai: -1, Nível: -1
Vértice: 453, Pai: -1, Nível: -1
Vértice: 454, Pai: -1, Nível: -1
Vértice: 455, Pai: -1, Nível: -1
Vértice: 456, Pai: -1, Nível: -1
